Date,Open,High,Low,Close,Adj Close,Volume
2020-04-21,6332.222168,6397.977051,6308.224609,6337.514160,6337.514160,30018639034
2020-04-22,6336.700684,6609.261230,6326.291504,6585.737305,6585.737305,30766306550
2020-04-23,6589.529785,6947.139648,6568.143555,6895.334473,6895.334473,40371945047
2020-04-24,6899.470703,6998.852539,6899.470703,6977.327148,6977.327148,32005501113
2020-04-25,6976.940918,7061.934570,6950.318848,6994.916016,6994.916016,30439269017
2020-04-26,6995.103516,7116.673828,6987.035645,7097.449219,7097.449219,30562213185
2020-04-27,7097.034668,7201.934570,7097.034668,7201.934570,7201.934570,33408252755
2020-04-28,7203.200195,7215.637207,7139.678223,7206.937500,7206.937500,30636834630
2020-04-29,7206.618164,8159.059082,7176.479492,8091.744629,8091.744629,55349329003
2020-04-30,8088.648438,8689.920898,7796.776367,7911.762695,7911.762695,61188997208
2020-05-01,7924.763184,8241.464844,7920.177246,7990.958008,7990.958008,39724524727
2020-05-02,7994.825684,8118.610840,7942.107422,8101.853027,8101.853027,36175050971
2020-05-03,8097.362793,8263.361328,7959.778320,8119.242676,8119.242676,42981980432
2020-05-04,8117.669434,8215.239258,7906.004395,8173.670898,8173.670898,41928068001
2020-05-05,8173.833496,8307.134766,8174.762695,8307.331055,8307.331055,39814035765
2020-05-06,8311.364258,8716.582031,8270.378906,8582.734375,8582.734375,45717626720
2020-05-07,8576.375977,9224.347656,8460.981445,9183.599609,9183.599609,56396877911
2020-05-08,9169.428711,9215.408203,9013.821289,8973.578125,8973.578125,47208611551
2020-05-09,8971.973633,9036.842773,8733.102539,8745.182617,8745.182617,42446696439
2020-05-10,8742.696289,8746.716797,7652.442871,8078.630859,8078.630859,58423522765
2020-05-11,8077.804688,8345.572266,7748.861328,7958.571289,7958.571289,52848550000
2020-05-12,7966.518555,8247.331055,7927.349121,8117.508301,8117.508301,38854531998
2020-05-13,8118.347656,8614.500000,8118.347656,8566.414063,8566.414063,42100372008
2020-05-14,8567.653320,9062.758789,8559.250977,9006.835938,9006.835938,52213115456
2020-05-15,9007.363281,9028.785156,8560.069336,8619.981445,8619.981445,44502489737
2020-05-16,8624.641602,8838.071289,8557.603516,8665.092773,8665.092773,33419065012
2020-05-17,8663.166992,9077.220703,8639.709961,8938.742188,8938.742188,37050193562
2020-05-18,8943.322266,9152.528320,8853.357422,8911.886719,8911.886719,38323740485
2020-05-19,8912.334961,8974.272461,8741.920898,8904.074219,8904.074219,35925760777
2020-05-20,8900.679688,8961.728516,8604.085938,8673.226563,8673.226563,33285145641
2020-05-21,8673.006836,8706.736328,8095.674805,8294.291992,8294.291992,35916228479
2020-05-22,8292.988281,8476.703125,8241.580078,8423.996094,8423.996094,27348075873
2020-05-23,8426.275391,8534.012695,8364.852539,8448.499023,8448.499023,25437240006
2020-05-24,8451.247070,8517.568359,8057.478516,8058.640137,8058.640137,29811873075
2020-05-25,8054.734375,8213.675781,7998.595215,8170.750000,8170.750000,28702097202
2020-05-26,8173.182129,8218.972656,7980.670898,8047.231445,8047.231445,26946164997
2020-05-27,8049.352051,8374.552734,8047.246094,8334.069336,8334.069336,29720222373
2020-05-28,8337.633789,8619.314453,8314.090820,8599.190430,8599.190430,31024222280
2020-05-29,8601.541992,8648.132813,8423.846680,8499.884766,8499.884766,29623261678
2020-05-30,8499.695313,8738.430664,8434.693359,8735.174805,8735.174805,29466875500
2020-05-31,8734.896484,8735.111328,8485.765625,8510.137695,8510.137695,24981824664
2020-06-01,8512.427734,9164.186523,8491.755859,9138.788086,9138.788086,31638321032
2020-06-02,9134.927734,9100.945313,8455.830078,8519.597656,8519.597656,34988507699
2020-06-03,8523.133789,8618.751953,8451.131836,8595.483398,8595.483398,22259239519
2020-06-04,8594.714844,8703.945313,8504.425781,8642.152344,8642.152344,22857718103
2020-06-05,8641.781250,8708.002930,8543.143555,8560.423828,8560.423828,20821655255
2020-06-06,8559.868164,8655.566406,8494.022461,8549.510742,8549.510742,18100713709
2020-06-07,8548.912109,8637.676758,8376.345703,8621.272461,8621.272461,22099248070
2020-06-08,8622.342773,8662.682617,8568.838867,8644.083984,8644.083984,19007316133
2020-06-09,8646.624023,8697.051758,8576.723633,8643.343750,8643.343750,20927699476
2020-06-10,8641.949219,8702.983398,8560.643555,8683.817383,8683.817383,22616920947
2020-06-11,8683.803711,8726.690430,8203.429688,8257.708984,8257.708984,26794462264
2020-06-12,8256.743164,8443.111328,8227.246094,8422.061523,8422.061523,20085507113
2020-06-13,8421.964844,8434.357422,8347.997070,8418.423828,8418.423828,15605232933
2020-06-14,8420.446289,8424.637695,8315.395508,8342.949219,8342.949219,16879795089
2020-06-15,8342.280273,8392.439453,7994.819824,8335.821289,8335.821289,23549993996
2020-06-16,8338.965820,8451.567383,8295.808594,8466.179688,8466.179688,19142088399
2020-06-17,8462.415039,8468.880859,8298.710938,8432.174805,8432.174805,17946983341
2020-06-18,8433.341797,8434.422852,8325.033203,8397.583008,8397.583008,15855107778
2020-06-19,8396.203125,8391.541992,8295.801758,8308.077148,8308.077148,17560905776
2020-06-20,8310.708008,8405.361328,8273.316406,8349.328125,8349.328125,15326113093
2020-06-21,8348.062500,8410.851563,8321.420898,8324.283203,8324.283203,13711188606
2020-06-22,8321.854492,8573.328125,8319.250000,8554.967773,8554.967773,18711722307
2020-06-23,8550.852539,8541.969727,8488.791992,8512.656250,8512.656250,15033755038
2020-06-24,8514.858398,8550.426758,8230.860352,8278.496094,8278.496094,16854310951
2020-06-25,8278.955078,8327.912109,8088.617676,8257.801758,8257.801758,16592633069
2020-06-26,8254.399414,8299.859375,8128.234863,8167.833984,8167.833984,16349600988
2020-06-27,8172.207520,8208.036133,8021.199219,8063.251465,8063.251465,15397597964
2020-06-28,8065.987793,8198.886719,8000.972168,8146.456055,8146.456055,12972978682
2020-06-29,8143.290527,8216.875977,8025.099121,8171.956543,8171.956543,14635730829
2020-06-30,8167.267578,8195.125977,8099.941406,8133.865234,8133.865234,14006669609
2020-07-01,8140.978516,8272.471680,8105.672363,8201.646484,8201.646484,14194667464
2020-07-02,8204.147461,8234.089844,8047.013672,8118.010254,8118.010254,14538368165
2020-07-03,8119.285156,8186.865723,8054.174316,8079.521973,8079.521973,11628513115
