LATITUDE;LONGITUDE;ALTITUDE;GEOMETRY;NAME;STR;HsNr;PLZ;ORT;WWW;TELEFON;FAX;EMAIL;POSTFACH;PLZ_POSTFACH;ORT_POSTFACH
51.2167918737086;6.80499480935183;0;point;Amtsgericht Düsseldorf;Werdener Straße;1;40227;Düsseldorf;http://www.ag-duesseldorf.nrw.de/;0211 8306-0;0211 87565-1160;poststelle@ag-duesseldorf.nrw.de;10 11 40;40002;Düsseldorf
51.2194095036733;6.79646808437109;0;point;Arbeitsgericht Düsseldorf;Ludwig-Erhard-Allee;21;40227;Düsseldorf;http://www.arbg-duesseldorf.nrw.de/;0211 7770-0;0211 7770-2299;poststelle@arbg-duesseldorf.nrw.de;10 13 45;40004;Düsseldorf
51.2194095036733;6.79646808437109;0;point;Finanzgericht Düsseldorf;Ludwig-Erhard-Allee;21;40227;Düsseldorf;http://www.fg-duesseldorf.nrw.de/;0211 7770-0;0211 7770-2600;verwaltung@fg-duesseldorf.nrw.de;10 23 53;40014;Düsseldorf
51.2094007789782;6.75177230952253;0;point;Hochsicherheits-Prozessgebäude OLG;Kapellweg;36;40221;Düsseldorf;http://www.olg-duesseldorf.nrw.de/;0211 4971-0;0211 4971-548;poststelle@olg-duesseldorf.nrw.de;30 02 10;40402;Düsseldorf
51.209145348662;6.8058481795889;0;point;Jugendgerichtshilfe der Arbeiterwohlfahrt (AWO);Oberbilker Allee;287;40227;Düsseldorf;https://www.awo-duesseldorf.de/jugendliche/junge-straftaeter/jugendhilfe-im-strafverfahren/;0211 60025-226 /-227 /-228;0211 60025-223;info@awo-duesseldorf.de;;;
51.189164;6.797238;0;point;Juristische Fakultät der Heinrich-Heine Universität Düsseldorf;Christophstraße;121;40225;Düsseldorf;http://www.jura.hhu.de/;0211 81-11414;0211 81-11431;dekanat.jura@uni-duesseldorf.de;;;
51.2239730343349;6.78151735447083;0;point;Justizministerium des Landes Nordrhein-Westfalen;Martin-Luther-Platz;40;40212;Düsseldorf;http://www.jm.nrw.de/;0211 837-1922;;poststelle@jm.nrw.de;;;
51.274345;6.823938;0;point;Justizvollzugsanstalt Düsseldorf;Oberhausener Straße;30;40472;Ratingen;http://www.jva-duesseldorf.nrw.de/;0211 93882-0;0211 93882-951;poststelle@jva-duesseldorf.nrw.de;30 05 43;40472;Ratingen
51.2194095036733;6.79646808437109;0;point;Landesarbeitsgericht Düsseldorf;Ludwig-Erhard-Allee;21;40227;Düsseldorf;http://www.lag-duesseldorf.nrw.de/;0211 7770-0;0211 7770-2199;poststelle@lag-duesseldorf.nrw.de;10 34 44;40025;Düsseldorf
51.2167918737086;6.80499480935183;0;point;Landgericht Düsseldorf;Werdener Straße;1;40227;Düsseldorf;http://www.lg-duesseldorf.nrw.de/;0211 8306-0;0211 87565-1260;poststelle@lg-duesseldorf.nrw.de;10 34 61;40025;Düsseldorf
51.218666721257;6.76340996114494;0;point;Landtag Nordrhein-Westfalen;Platz des Landtags;1;40221;Düsseldorf;https://www.landtag.nrw.de/portal/WWW/home.jsp;0211 884-0;0211 884-2258;email@landtag.nrw.de;10 11 43;40002;Düsseldorf
51.238945873892;6.7720630403594;0;point;Oberlandesgericht Düsseldorf;Cecilienallee;3;40474;Düsseldorf;http://www.olg-duesseldorf.nrw.de/;0211 4971-0;0211 4971-548;poststelle@olg-duesseldorf.nrw.de;30 02 10;40402;Düsseldorf
51.2194095036733;6.79646808437109;0;point;Sozialgericht Düsseldorf;Ludwig-Erhard-Allee;21;40227;Düsseldorf;http://www.sg-duesseldorf.nrw.de/;0211 7770-0;0211 7770-2373;poststelle@sg-duesseldorf.nrw.de;10 45 52;40036;Düsseldorf
51.2306261452396;6.7764062919327;0;point;Staatsanwaltschaft Düsseldorf;Fritz-Roeber-Straße;2;40213;Düsseldorf;http://www.sta-duesseldorf.nrw.de/;0211 6025-0;0211 6025-2929;poststelle@sta-duesseldorf.nrw.de;10 11 22;40002;Düsseldorf
51.2213969456668;6.77625698213676;0;point;Verwaltungsgericht Düsseldorf;Bastionstraße;39;40213;Düsseldorf;http://www.vg-duesseldorf.nrw.de/;0211 8891-0;0211 8891-4000;poststelle@vg-duesseldorf.nrw.de;20 08 60;40105;Düsseldorf
